Timestamp,Accepted,Confirmed,Occupational status (check the most relevant in the context of the workshop),What organization(s) do you work for?,What department(s) do you work in?,"In three sentences or less, please describe your current field of work or research question.",How do you intend to make use of what you will learn in the workshop? What do you hope the workshop will help you with?,What operating system will you use on the laptop you bring to the workshop?,Waiver 1,Waiver 2,SWD?,What best describes how you currently manage your data/projects? (Check all that apply.),What best describes how you currently analyze your data? (Check all that apply.),What best describes how frequently you currently program?,What best describes the complexity of your programming? (Check all that apply.),"How familiar are you with Bash? (a.k.a. Unix, Command line, Shell) Please select the answer that best applies to you:","How would you solve this task: A directory contains 1000 text files. Create a list of all files that contain the word ""Drosophila"" and save the result to a file called results.txt.",How familiar are you with version control? Please select the answer that best applies to you:,"How would you solve this task: Given the URL for a project's version control repository, check out a working copy of that project, add a file called notes.txt, and commit the change.",How familiar are you with Python/Jupyter Notebook? Please select the answer that best applies to you:,How would you solve this task: A tab-delimited file has two columns showing for the last four decades the date for each day and the highest temperature on that day. Design a program to produce a graph for these data showing the average highest temperature for each month.,Please check which of the following you would be interested in a future workshop. (Your response will have no bearing on your chance to be accepted to the workshop.)
2/15/19 9:26,20190218,1,Faculty,BUMC-T,Internal Medicine,Infectious Diseases in the Immunocompromised population,More efficient data analysis and methods to explore bioinformatics,Mac,I agree,I agree,No,My data reside on my hard drive.,"I am analyzing my data by looking at them and thinking about them, I am analyzing my data with an office software, like Excel, I am analyzing my data using Matlab, R and/or Python., I use other computational tools to do my analysis",I program several times a year,I write scripts that are a few lines long to analyze data.,I am not familiar with the command line.,I could complete the task with documentation or search engine help.,I am not familiar with version control.,I could complete the task with documentation or search help.,I am familiar with Python because I have used or am using it.,I could complete the task with documentation or search engine help.,"High Performance Computing using the UA HPC system, Using a centralized data store (to store, access and/or share your data from anywhere), Using virtual machines (to speed up analyses, among other purposes), Quality assurance (to ensure my code does what it is supposed to do), Metadata (to associate my data with data about them, such as how they were produced, experimental conditions, etc.)"
2/6/19 15:50,20190218,1,Graduate Student,University of Arizona,Sociology,"political violence, collective memory",research,Windows,I agree,I agree,No,My data reside on my hard drive.,"I am analyzing my data with an office software, like Excel, I am analyzing my data using Matlab, R and/or Python.",I program several times a year,I write scripts that are a few lines long to analyze data.,I am familiar with the command line but have never used it.,I could complete the task with documentation or search engine help.,I am familiar only with the term.,I could complete the task with documentation or search help.,I am familiar with Python because I have used or am using it.,I could complete the task with documentation or search engine help.,"Quality assurance (to ensure my code does what it is supposed to do), Metadata (to associate my data with data about them, such as how they were produced, experimental conditions, etc.), Using Docker (to make analyses reproducible, among other purposes)"
2/6/19 9:42,20190218,1,Staff,University of Arizona,Entomology,Genome evolution in non model Drosophila and linking it to behavior.,Getting better at scripting with python.,Windows,I agree,I agree,No,"My data reside on my hard drive., My data reside in commercial cloud storage such as Amazon, Google Cloud, DropBox","I am analyzing my data with an office software, like Excel, I use other computational tools to do my analysis",I program several times a year,"I write scripts that are a few lines long to analyze data., I have experience programming in Perl, I have experience programming in Python",I am familiar with the command line because I have used it.,I would create this list using basic command line functions.,I am familiar only with the term.,I could complete the task with documentation or search help.,I am familiar with Python because I have used or am using it.,I could complete the task with documentation or search engine help.,"High Performance Computing using the UA HPC system, Using Docker (to make analyses reproducible, among other purposes)"
2/1/19 9:52,20190218,1,Graduate Student,University of Arizona,Department of Spanish and Portuguese,"I am working in second language acquisition and hispanic linguistics. Using psycholinguistic methodologies, I am working on the my dissertation that investigates visual based language processing by Spanish–English bilinguals.","As I am working through the dissertation phase of my degree, I am also trying to be in-line with Reproduceable Research. This requires many programming skills (R, python, LaTeX, Praat scripting) that automate and document the research process. The main idea behind Reproduceable Research is that another scholar could replicate every step that I took from collecting and managing data, statistical analysis, to the actual formatting of the final report if they had access to my commented code and data sources. I hope that this workshop would talk to this line of research and at the very least help me to learn some best practices of programming.",Mac,I agree,I agree,No,"My data reside on my hard drive., My data reside in commercial cloud storage such as Amazon, Google Cloud, DropBox","I am analyzing my data by looking at them and thinking about them, I am analyzing my data using tools such as calculator, ruler, drawing utensils, etc, I am analyzing my data with an office software, like Excel, I am analyzing my data using Matlab, R and/or Python.",I program several times a year,"I write programs that are a page or two long for my own use., I have experience programming in Python, I have experience programming in R",I am familiar with the command line because I have used it.,I could complete the task with documentation or search engine help.,I am familiar with version control but have never used it.,I could complete the task with documentation or search help.,"I am familiar with Python because I have used or am using it., I am familiar with Jupyter Notebook because I have used or am using it.",I could complete the task with documentation or search engine help.,"Using virtual machines (to speed up analyses, among other purposes), Quality assurance (to ensure my code does what it is supposed to do), Metadata (to associate my data with data about them, such as how they were produced, experimental conditions, etc.), Using Docker (to make analyses reproducible, among other purposes)"
2/6/19 11:02,20190218,1,Graduate Student,University of Arizona,Biomedical Engineering,Evaluating the influence of an amniotic heart patch in mitigating pathological cardiac outcomes.,Data analysis for my current work in the department of biomedical engineering and the knowledge and ability to use other software such as Python in my future career.,Windows,I agree,I agree,No,"My data reside in a lab notebook, drawers, filing cabinets and/or boxes., My data reside on my hard drive., My data reside in commercial cloud storage such as Amazon, Google Cloud, DropBox","I am analyzing my data by looking at them and thinking about them, I am analyzing my data with an office software, like Excel, I am analyzing my data using Matlab, R and/or Python.",I program less than once a year,"I write scripts that are a few lines long to analyze data., I have experience programming in Matlab",I am not familiar with the command line.,I could complete the task with documentation or search engine help.,I am not familiar with version control.,I could not complete this task.,I am not familiar with either.,I could complete the task with documentation or search engine help.,"Using a centralized data store (to store, access and/or share your data from anywhere), Using virtual machines (to speed up analyses, among other purposes), Quality assurance (to ensure my code does what it is supposed to do), Using Docker (to make analyses reproducible, among other purposes)"
1/30/19 12:27,20190218,1,Graduate Student,University of Arizona,Chemical Engineering,Water treatment using membrane distillation,To store data and share it better. To better analyse data,Windows,I agree,I agree,No,My data reside on my hard drive.,"I don't do data analysis, yet",I program several times a year,"I write programs that are a page or two long for my own use., I have experience programming in Python, I have experience programming in Matlab",I am familiar with the command line but have never used it.,"I would create this list using ""Find in Files"" and ""copy and paste"".",I am not familiar with version control.,I could not complete this task.,"I am familiar with Python because I have used or am using it., I am familiar with Jupyter Notebook because I have used or am using it.",I could complete the task with documentation or search engine help.,"Metadata (to associate my data with data about them, such as how they were produced, experimental conditions, etc.), Using Docker (to make analyses reproducible, among other purposes)"
2/5/19 16:08,20190218,1,Graduate Student,UofA,SIE,Machine learning in healthcare,Quick refresher,Mac,I agree,I agree,No,"My data reside in a lab notebook, drawers, filing cabinets and/or boxes., My data reside on my hard drive.","I am analyzing my data with an office software, like Excel, I am analyzing my data using Matlab, R and/or Python., I use other computational tools to do my analysis",I program less than once a year,I write programs that are a page or two long for my own use.,I am not familiar with the command line.,"I would create this list using ""Find in Files"" and ""copy and paste"".",I am not familiar with version control.,I could complete the task with documentation or search help.,I am familiar with Python because I have used or am using it.,I could complete the task with documentation or search engine help.,"Using virtual machines (to speed up analyses, among other purposes), Metadata (to associate my data with data about them, such as how they were produced, experimental conditions, etc.)"
2/11/19 18:39,20190218,1,Graduate Student,U of A,Hydrology,machine learning in flood hazards assessment,machine learning and data analysis,Windows,I agree,I agree,No,"My data reside in a lab notebook, drawers, filing cabinets and/or boxes., My data reside in commercial cloud storage such as Amazon, Google Cloud, DropBox","I am analyzing my data with an office software, like Excel, I am analyzing my data using Matlab, R and/or Python.",I program several times a year,"I write programs that are a page or two long for my own use., I have experience programming in Python, I have experience programming in Matlab",I am familiar only with the name command line or any of its synonyms.,I could complete the task with documentation or search engine help.,I am not familiar with version control.,I could complete the task with documentation or search help.,"I am familiar with Python because I have used or am using it., I am familiar with Jupyter Notebook because I have used or am using it.",I could complete the task with documentation or search engine help.,"High Performance Computing using the UA HPC system, Using virtual machines (to speed up analyses, among other purposes)"
2/18/19 9:54,20190218,1,Industry Researcher,Raytheon,N/A,Electrical testing to determine and eliminate hardware failure mode,Better more efficient ways of handling data,Windows,I agree,I agree,No,My data reside on my hard drive.,"I am analyzing my data with an office software, like Excel, I outsource data analysis",I program less than once a year,I write scripts that are a few lines long to analyze data.,I am not familiar with the command line.,"I would create this list using ""Find in Files"" and ""copy and paste"".",I am not familiar with version control.,I could not complete this task.,I am familiar with the only term(s).,I could complete the task with documentation or search engine help.,"Metadata (to associate my data with data about them, such as how they were produced, experimental conditions, etc.)"
1/30/19 11:21,20190218,1,Undergraduate Student,I do not work for an organization. I work as an undergraduate research assistant in Dr. Justina McEvoy's laboratory at the Arizona Cancer Center.,Department of Molecular and Cellular Biology,"We study the role of epigenetic mechanisms, mainly long non-coding RNA activity, in the development of rhabdomyosarcoma (RMS) tumorigenesis. Our goal is to understand the molecular mechanisms that promote RMS tumor formation and develop more effective targeted therapeutics for patients in the future.","I wish to participate in this workshop to gain a basic understanding of computational analyses and incorporate my learned skills in my career as a researcher. I recognize data analysis is essential for the interpretation of results from biological assays. As a biologist, developing computational skills would be extremely valuable for diverse applications such as evaluating gene transcription levels from RNA-sequencing data.",Windows,I agree,I agree,No,"My data reside in a lab notebook, drawers, filing cabinets and/or boxes., My data reside on a thumb drive., My data reside in commercial cloud storage such as Amazon, Google Cloud, DropBox","I am analyzing my data by looking at them and thinking about them, I am analyzing my data with an office software, like Excel",I have never programmed,I have never programmed,I am not familiar with the command line.,I could not create this list.,I am not familiar with version control.,I could not complete this task.,I am not familiar with either.,I could not complete this task.,"High Performance Computing using the UA HPC system, Using virtual machines (to speed up analyses, among other purposes), Quality assurance (to ensure my code does what it is supposed to do), Metadata (to associate my data with data about them, such as how they were produced, experimental conditions, etc.), Using Docker (to make analyses reproducible, among other purposes)"
